time(s),x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s),q0,q1,q2,q3,roll(rad),pitch(rad),yaw(rad)
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,0.0000,0.0000,0.0061,0.0000,0.0000,0.9174,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0200,0.0000,0.0000,0.0216,0.0000,0.0000,1.8658,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0300,0.0000,0.0000,0.0467,0.0000,0.0000,2.8452,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0400,0.0000,0.0000,0.0819,0.0000,0.0000,3.8557,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0500,0.0000,0.0000,0.1274,0.0000,0.0000,4.8971,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0600,0.0000,0.0000,0.1835,0.0000,0.0000,5.9696,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0700,0.0000,0.0000,0.2505,0.0000,0.0000,7.0730,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0800,0.0000,0.0000,0.3287,0.0000,0.0000,8.2074,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0900,0.0000,0.0000,0.4186,0.0000,0.0000,9.3727,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,0.0000,0.0000,0.5202,0.0000,0.0000,10.5689,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1100,0.0000,0.0000,0.6341,0.0000,0.0000,11.7960,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1200,0.0000,0.0000,0.7604,0.0000,0.0000,13.0538,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1300,0.0000,0.0000,0.8995,0.0000,0.0000,14.3424,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1400,0.0000,0.0000,1.0517,0.0000,0.0000,15.6617,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1500,0.0000,0.0000,1.2173,0.0000,0.0000,17.0116,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1600,0.0000,0.0000,1.3966,0.0000,0.0000,18.3920,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1700,0.0000,0.0000,1.5899,0.0000,0.0000,19.8028,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1800,0.0000,0.0000,1.7975,0.0000,0.0000,21.2440,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1900,0.0000,0.0000,2.0197,0.0000,0.0000,22.7154,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2000,0.0000,0.0000,2.2569,0.0000,0.0000,24.2169,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2100,0.0000,0.0000,2.5091,0.0000,0.0000,25.7264,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2200,0.0000,0.0000,2.7763,0.0000,0.0000,27.2215,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2300,0.0000,0.0000,3.0584,0.0000,0.0000,28.7020,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2400,0.0000,0.0000,3.3553,0.0000,0.0000,30.1680,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2500,0.0000,0.0000,3.6666,0.0000,0.0000,31.6191,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2600,0.0000,0.0000,3.9924,0.0000,0.0000,33.0554,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2700,0.0000,0.0000,4.3324,0.0000,0.0000,34.4766,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2800,0.0000,0.0000,4.6866,0.0000,0.0000,35.8827,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2900,0.0000,0.0000,5.0547,0.0000,0.0000,37.2735,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3000,0.0000,0.0000,5.4366,0.0000,0.0000,38.6489,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3100,0.0000,0.0000,5.8322,0.0000,0.0000,40.0088,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3200,0.0000,0.0000,6.2412,0.0000,0.0000,41.3530,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3300,0.0000,0.0000,6.6636,0.0000,0.0000,42.6816,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3400,0.0000,0.0000,7.0992,0.0000,0.0000,43.9943,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3500,0.0000,0.0000,7.5478,0.0000,0.0000,45.2911,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3600,0.0000,0.0000,8.0093,0.0000,0.0000,46.5719,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3700,0.0000,0.0000,8.4835,0.0000,0.0000,47.8366,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3800,0.0000,0.0000,8.9702,0.0000,0.0000,49.0851,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.3900,0.0000,0.0000,9.4692,0.0000,0.0000,50.3174,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4000,0.0000,0.0000,9.9805,0.0000,0.0000,51.5333,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4100,0.0000,0.0000,10.5039,0.0000,0.0000,52.7328,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4200,0.0000,0.0000,11.0391,0.0000,0.0000,53.9158,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4300,0.0000,0.0000,11.5861,0.0000,0.0000,55.0823,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4400,0.0000,0.0000,12.1446,0.0000,0.0000,56.2321,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4500,0.0000,0.0000,12.7144,0.0000,0.0000,57.3653,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4600,0.0000,0.0000,13.2956,0.0000,0.0000,58.4817,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
